STARTED	2023-10-11 10:00:01.900637
INSERTED	2023-10-11 10:00:14.903697
STARTED	2023-10-11 10:05:01.617552
INSERTED	2023-10-11 10:05:14.664930
STARTED	2023-10-11 10:10:01.911395
INSERTED	2023-10-11 10:10:15.049891
STARTED	2023-10-11 10:15:01.303184
INSERTED	2023-10-11 10:15:15.856381
STARTED	2023-10-11 10:20:02.115052
INSERTED	2023-10-11 10:20:16.149886
STARTED	2023-10-11 10:25:01.396403
INSERTED	2023-10-11 10:25:14.523929
STARTED	2023-10-11 10:30:01.776163
INSERTED	2023-10-11 10:30:14.824744
STARTED	2023-10-11 10:35:02.068498
INSERTED	2023-10-11 10:35:16.112798
STARTED	2023-10-11 10:40:01.356965
INSERTED	2023-10-11 10:40:14.380297
STARTED	2023-10-11 10:45:01.628098
INSERTED	2023-10-11 10:45:14.636453
STARTED	2023-10-11 10:50:01.878117
INSERTED	2023-10-11 10:50:14.907224
STARTED	2023-10-11 10:55:02.156352
INSERTED	2023-10-11 10:55:15.194436
STARTED	2023-10-11 11:00:01.439982
INSERTED	2023-10-11 11:00:14.488218
STARTED	2023-10-11 11:05:01.730838
INSERTED	2023-10-11 11:05:15.705722
STARTED	2023-10-11 11:10:01.951320
INSERTED	2023-10-11 11:10:15.283190
STARTED	2023-10-11 11:15:01.471666
INSERTED	2023-10-11 11:15:14.469444
STARTED	2023-10-11 11:20:01.724672
INSERTED	2023-10-11 11:20:14.758796
STARTED	2023-10-11 11:25:01.998619
INSERTED	2023-10-11 11:25:16.057538
STARTED	2023-10-11 11:30:01.296966
INSERTED	2023-10-11 11:30:14.372717
STARTED	2023-10-11 11:35:01.615340
INSERTED	2023-10-11 11:35:14.624569
STARTED	2023-10-11 11:40:01.868343
INSERTED	2023-10-11 11:40:15.053517
STARTED	2023-10-11 11:45:01.295815
INSERTED	2023-10-11 11:45:14.253603
STARTED	2023-10-11 11:50:01.497555
INSERTED	2023-10-11 11:50:14.509927
STARTED	2023-10-11 11:55:01.774056
INSERTED	2023-10-11 11:55:14.965266
STARTED	2023-10-11 12:00:01.208657
INSERTED	2023-10-11 12:00:14.262715
STARTED	2023-10-11 12:05:01.505258
INSERTED	2023-10-11 12:05:14.540316
STARTED	2023-10-11 12:10:01.787420
INSERTED	2023-10-11 12:10:15.995321
STARTED	2023-10-11 12:15:01.238212
INSERTED	2023-10-11 12:15:14.281247
STARTED	2023-10-11 12:20:01.541255
INSERTED	2023-10-11 12:20:14.580181
STARTED	2023-10-11 12:25:01.825330
INSERTED	2023-10-11 12:25:14.939142
STARTED	2023-10-11 12:30:01.182726
INSERTED	2023-10-11 12:30:15.429673
STARTED	2023-10-11 12:35:01.674683
INSERTED	2023-10-11 12:35:14.685583
STARTED	2023-10-11 12:40:01.928481
INSERTED	2023-10-11 12:40:14.948995
STARTED	2023-10-11 12:45:01.217369
INSERTED	2023-10-11 12:45:14.225782
STARTED	2023-10-11 12:50:01.472401
INSERTED	2023-10-11 12:50:14.688095
STARTED	2023-10-11 12:55:01.933088
INSERTED	2023-10-11 12:55:16.104361
STARTED	2023-10-11 13:00:01.353239
INSERTED	2023-10-11 13:00:14.397194
STARTED	2023-10-11 13:05:01.642260
INSERTED	2023-10-11 13:05:15.645600
STARTED	2023-10-11 13:10:01.889640
INSERTED	2023-10-11 13:10:14.931917
STARTED	2023-10-11 13:15:01.176214
INSERTED	2023-10-11 13:15:14.218115
STARTED	2023-10-11 13:20:01.475422
INSERTED	2023-10-11 13:20:14.477153
STARTED	2023-10-11 13:25:01.740982
INSERTED	2023-10-11 13:25:14.864442
STARTED	2023-10-11 13:30:02.126265
INSERTED	2023-10-11 13:30:15.142792
STARTED	2023-10-11 13:35:01.386108
INSERTED	2023-10-11 13:35:14.433329
STARTED	2023-10-11 13:40:01.680808
INSERTED	2023-10-11 13:40:14.736487
STARTED	2023-10-11 13:45:01.979308
INSERTED	2023-10-11 13:45:15.141968
STARTED	2023-10-11 13:50:01.396008
INSERTED	2023-10-11 13:50:15.447959
STARTED	2023-10-11 13:55:01.693751
INSERTED	2023-10-11 13:55:15.661425
